"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.1","81.5","84.5","87.2","89.7","91.4","92.8","94","94.9","95.6","96.1","96.6","96.8","97.1","97.3","97.5","97.6","97.7","97.8","97.9","97.9","98","97.9","","",
"American Samoa","ASM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Australia","AUS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Austria","AUT","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","73.3","76.9","80","82.9","85.5","87.8","89.8","91.3","92.6","93.7","94.7","95.5","96","96.6","97","97.3","97.6","97.8","98.1","98.1","98.4","98.5","","",
"Burundi","BDI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Belgium","BEL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Benin","BEN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.8","1.1","1.5","1.9","2.3","2.8","3.3","3.8","4.2","4.4","4.8","4.9","5","5.1","5.3","5.2","5.2","5.3","5.4","5.7","5.8","6","","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.9","3.1","3.4","3.6","3.9","4.3","4.6","5","5.4","5.8","6.2","6.9","7.5","8.2","8.9","10","10.8","11.9","13.1","14.5","15.8","17.2","","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","8.4","8.5","8.6","9","9.3","9.6","10.2","10.8","11.6","12.6","13.6","14.6","15.7","16.8","18.2","19.4","20.7","21.9","23.5","24.9","26.4","28","","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1","53.2","51.65","51.3","50.2","49.1","47.9","46.65","45.8","45.6","44.8","43.7","43.2","42.1","41.9","41.8","41.05","41.3","40.8","42.05","40.85","40.9","41.1","","",
"Belarus","BLR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5","93.7","94.8","95.5","96.2","96.9","97.4","97.9","98.1","98.5","98.7","99","99.2","99.3","99.4","99.5","99.5","99.6","99.7","99.7","99.7","99.7","99.7","","",
"Belize","BLZ","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9","80.7","81.3","81.8","82.3","82.8","83","83.3","83.1","83.6","83.4","83.5","83.4","83.3","83.3","83.4","83.2","83.2","83","83","82.9","82.8","82.5","","",
"Bermuda","BMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2","64.4","65.2","66.4","67.4","68.8","70.1","71.6","72.9","74.4","75.8","77.2","78.6","79.9","81.2","82.35","83.5","84.6","85.6","86.6","87.4","88.3","89.1","","",
"Brazil","BRA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.05","89.8","90.2","90.7","91.3","91.6","92.1","92.5","93.1","93.4","93.9","94.3","94.7","95.1","95.4","95.7","95.8","96.1","96.2","96.4","96.4","96.5","96.5","","",
"Barbados","BRB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","29.9","34.3","38.2","42.6","47","51","55.4","58.9","62.3","65.7","68.5","71.2","73.8","76.2","78.1","80","81.9","83.3","84.7","86","86.8","88","","",
"Botswana","BWA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2","46.2","47.9","49.3","51","52.1","53.4","54.8","56.3","57.3","58.4","59.4","60.1","60.5","61.4","61.8","62.5","63","63.7","64.4","64.8","65.4","66","","",
"Central African Republic","CAF","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.7","0.7","0.8","0.9","1","1","","",
"Canada","CAN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Switzerland","CHE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"China","CHN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3","41.8","42.9","44.1","45.45","46.7","48.5","50.3","52.7","55.2","57.4","60.1","62.9","65.8","68.8","71.5","74.4","77.1","79.5","82","83.8","85.9","87.8","","",
"Cote d'Ivoire","CIV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","17.3","17","16.7","16.5","16.4","16.4","16.7","16.9","17.5","18.3","19.3","20.6","21.6","23.3","25.1","27.3","29.6","32.1","34.7","37.4","40.3","42.6","","",
"Cameroon","CMR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","10.8","11.7","12.8","13.8","14.8","15.7","16.6","17.4","18.4","19","19.7","20.3","21","21.9","22.8","23.6","24.3","25.3","26.4","27.4","28.6","29.4","","",
"Congo, Dem. Rep.","COD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.1","1.3","1.5","1.8","2.1","2.3","2.6","2.8","3.1","3.2","3.4","3.5","3.6","3.8","3.8","3.9","3.9","3.9","4","4.1","4.3","4.3","","",
"Congo, Rep.","COG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","8.8","9.4","10","10.6","11.3","12.25","13.1","14.2","15.5","16.9","18.5","20.3","21.9","24","26","27.7","30","31.8","33.9","35.9","37.7","39.65","","",
"Colombia","COL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","79.1","79.8","80.8","81.1","82","82.8","83.3","83.9","84.9","85.6","86.5","87.1","87.9","88.8","89.4","90","90.7","91.4","91.9","92.6","93.1","93.6","","",
"Comoros","COM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.6","0.8","1","1.2","1.5","1.8","2.1","2.5","2.9","3.3","3.8","4.3","4.7","5.3","5.8","6.3","6.7","7.4","7.8","8.3","9","9.6","","",
"Cabo Verde","CPV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8","63","63.4","63.7","64.3","64.6","65.6","66.5","67.4","68.4","69.7","70.8","71.9","73","74.35","75.5","76.7","77.9","79","80.2","81.1","82","83","","",
"Costa Rica","CRI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89.3","89.7","90","90.4","90.6","91","91.4","91.8","92.1","92.4","92.8","93.2","93.5","93.9","94.2","94.6","95","95.3","95.6","95.9","96.2","96.4","","",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5521128074234","94.8061092471772","95.0542641626995","95.2525935635487","95.513786998823","95.6473211048958","95.8249201741548","95.9904365487435","96.1024212805633","96.2551231896412","96.3512966248815","96.4506669432604","96.5490250434853","96.5998140302634","96.648023653543","96.7196629912769","96.7293114349901","96.7595529689841","96.7902539398474","96.8181114951743","96.7917630046137","96.7502997990475","96.6915230660106","","",
"Cuba","CUB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4","65.5","69.4","73","75.95","78.9","81.15","83","85.1","86.5","87.9","89.1","90.2","91.3","92","92.7","93.4","93.65","94.2","94.4","94.7","95","94.7","","",
"Curacao","CUW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Czechia","CZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Germany","DEU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Djibouti","DJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.9","4.1","4.3","4.5","4.7","5","5.3","5.7","5.9","6.4","7","7.4","7.8","8.3","8.8","9.05","9.6","9.8","10.2","10.1","10.5","10.3","","",
"Dominica","DMA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","80.8","81.9","82.9","83.9","84.5","85.6","86.1","86.9","87.4","88.1","88.3","88.7","88.9","88.9","89.2","89.1","88.9","88.5","88.1","87.55","86.9","86.7","","",
"Denmark","DNK","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Dominican Republic","DOM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4","85.3","85.6","86.1","86.3","86.55","86.7","87","87.1","87.3","87.5","87.6","87.9","88.3","88.6","89.1","89.6","90.2","90.7","91.3","91.9","92.4","92.8","","",
"Algeria","DZA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4","97","97.4","97.8","98.1","98.4","98.6","98.8","99","99.1","99.2","99.3","99.4","99.4","99.5","99.6","99.6","99.7","99.7","99.7","99.7","99.7","99.7","","",
"East Asia & Pacific (excluding high income)","EAP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2407805735228","35.8838302786087","36.996487746069","38.2028755107078","39.5794270312743","40.9475133747045","42.8143402885795","44.8051281470527","47.3531522347594","50.0029184870518","52.5678783298417","55.4837679342594","58.4767082247176","61.534888047873","64.5796831591079","67.3933324380118","70.3405878013019","73.1019141609394","75.5730454378916","78.0381591955931","79.9655335479399","82.0337615168997","83.8632337276199","","",
"Early-demographic dividend","EAR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2351250806224","35.2741109798472","36.3048475500632","37.1944099441137","38.277418293182","39.1733234903074","40.3006520564455","41.5679817171282","42.8724823639221","44.2773155951491","45.8936082221498","47.5071469209299","49.1668412823776","51.1179304083516","52.8473990330375","54.84651993087","57.034571330132","59.1185691159019","61.5796355756563","63.7319522769767","66.2612747553481","68.3565705927939","70.5542265534635","","",
"East Asia & Pacific","EAS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6876632107138","42.2425263671749","43.2199312980137","44.281445442287","45.4938334115413","46.6991910137839","48.3638608640841","50.1467310678865","52.4377144677581","54.8170524095491","57.119302192583","59.7362420299693","62.4223695659941","65.1704719367305","67.9120652177487","70.4480749710788","73.1085769107879","75.6007978467353","77.8343817849715","80.0655677543406","81.808261845558","83.6757869140126","85.3340215164961","","",
"Europe & Central Asia (excluding high income)","ECA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7116401892977","82.7540762107779","83.7295413714395","84.5909140041999","85.457092990992","86.2933244063791","87.0288349415807","87.5021944762455","88.1624756415238","88.6637809977672","89.1367595278871","89.5263348477917","89.908152447816","90.1404665998628","90.4079524091367","90.5738374938086","90.7610000945173","90.8264380407869","90.9689110526527","91.0472390111188","91.0500820227928","90.9248484450412","90.7442050546094","","",
"Europe & Central Asia","ECS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.3653328091076","95.6005467171468","95.8391059798811","96.0514078581013","96.2665739441161","96.4590977058703","96.641845405591","96.7476485777932","96.9091756570288","97.0276470593628","97.1211305530534","97.206176779362","97.2784388694061","97.3268618316095","97.4011682068179","97.4179360200623","97.4567456925168","97.4627178341115","97.4900637753731","97.4986100921409","97.4710220684168","97.4084677544174","97.3898592951197","","",
"Ecuador","ECU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5","89.7","90.5","91","91.8","92.3","92.7","93.1","93.4","93.6","94","93.95","94","94.2","94.2","94.3","94.4","94.4","94.5","94.4","94.4","94.5","94.5","","",
"Egypt, Arab Rep.","EGY","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.2","86","89.4","92","94.2","95.8","97","97.8","98.6","98.9","99.2","99.5","99.7","99.8","99.8","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","","",
"Euro area","EMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Eritrea","ERI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.9","4.3","4.8","5.4","5.8","6.3","6.9","7.4","7.6","8.2","8.4","8.9","9","9.5","9.6","9.8","9.8","10.1","10.2","10.4","10.4","10.5","","",
"Spain","ESP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Estonia","EST","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Ethiopia","ETH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.9","1","1.1","1.1","1.3","1.4","1.6","1.9","2.2","2.6","3","3.4","3.8","4.3","4.9","5.4","6","6.6","7.4","8","8.8","","",
"European Union","EUU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Fragile and conflict affected situations","FCS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6477473255796","20.880856894292","21.0959866573333","21.2972841886391","21.588144820807","21.8248101887757","22.0838976758341","22.3504567716577","22.6305164214078","22.9509985519663","23.2833433581834","23.6223407903507","24.016984135494","24.3627637298951","24.7540765519469","25.2768678842373","25.9687197751301","26.789472986365","27.7261806092742","28.7863820477073","29.8820117258216","30.9188381181289","31.7452870464263","","",
"Finland","FIN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Fiji","FJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","28.1","28.2","28.3","28.45","28.8","29.1","29.7","30.5","31.1","32.4","33.4","35","36.6","38.3","40.2","42.7","44.9","47.3","49.3","51.8","54","56.1","","",
